Match_ID,Hometeam,Awayteam,Hometeam Score,Awayteam Score,Home_Possession,Away_Possession,Home_Shots_on_target,Away_Shots_on_target,Home_Total_Shots,Away_Total_Shots,Home_Touches,Away_Touches,Home_Passes,Away_Pasees,Home_Takles,Away_Takles,Home_Clearance,Away_Clearance,Home_Corners,Away_Corners,Home_Offsides,Away_Offsides,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Home_Fouls_Conceded,Away_Fouls_Conceded
8234,Chelsea,Everton,2,1,43.5,56.5, 6,7,23,20,387,524,387,524,23,22,17,29,7,4,1,1,2,1,0,0,8,9
8235,Liverpool,Queens Park Rangers,1,0,66.4,33.6, 8,0,28,11,607,311,607,311,14,24,10,42,14,0,2,1,1,3,0,0,7,4
8236,Manchester City,Norwich City,2,3,60.3,39.7, 3,7,14,17,497,317,497,317,17,14,25,24,7,7,2,2,1,0,0,0,11,9
8237,Newcastle United,Arsenal,0,1,50.7,49.3, 1,2,7,10,467,458,467,458,20,32,24,18,4,4,2,2,1,2,0,0,18,10
8238,Southampton,Stoke City,1,1,63,37, 7,3,12,8,522,296,522,296,20,17,31,35,3,4,3,2,0,2,0,0,10,7
8239,Swansea City,Fulham,0,3,64.4,35.6, 10,5,27,9,654,367,654,367,20,18,5,44,8,0,5,1,2,1,0,0,12,10
8240,Tottenham Hotspur,Sunderland,1,0,68.2,31.8, 14,3,35,8,467,222,467,222,18,24,37,43,14,1,4,2,1,2,0,1,7,14
8241,West Bromwich Albion,Manchester United,5,5,35.4,64.6, 6,6,19,15,321,601,321,601,19,15,15,20,3,5,4,2,0,1,0,0,12,8
8242,West Ham United,Reading,4,2,48.4,51.6, 10,6,21,17,352,369,352,369,17,15,32,26,6,4,5,0,2,1,0,0,13,10
8243,Wigan Athletic,Aston Villa,2,2,54,46, 4,3,17,8,512,432,512,432,25,15,22,13,4,2,2,4,2,1,0,0,11,13
8232,Arsenal,Wigan Athletic,4,1,47.5,52.5, 10,2,21,11,452,513,452,513,24,13,14,18,7,4,2,5,0,2,0,0,12,11
8233,Reading,Manchester City,0,2,38.7,61.3, 7,11,12,30,361,597,361,597,12,12,26,21,4,10,1,2,0,1,0,0,7,8
8230,Stoke City,Tottenham Hotspur,1,2,32.7,67.3, 1,7,6,25,231,516,231,516,25,11,31,53,2,11,0,4,3,1,1,0,12,6
8225,Everton,West Ham United,2,0,64.7,35.3, 7,2,28,7,493,264,493,264,11,18,24,31,7,1,3,0,1,2,0,0,7,12
8226,Fulham,Liverpool,1,3,48.4,51.6, 5,7,10,20,513,544,513,544,14,23,26,24,7,8,3,2,0,1,0,0,1,11
8228,Norwich City,West Bromwich Albion,4,0,48.1,51.9, 7,4,12,8,409,451,409,451,16,17,13,36,8,2,2,2,2,1,0,0,11,7
8229,Queens Park Rangers,Newcastle United,1,2,56.2,43.8, 2,4,10,11,445,360,445,360,22,24,18,27,2,2,7,4,1,2,0,1,9,10
